target_rank,feasible,Prestiz,Absolwenci,PotencjalNaukowy,Innowacyjnosc,EfektywnoscNaukowa,WarunkiKsztalcenia,Umiedzynarodowienie
4,True,0.0,0.0,0.0,0.0,0.04236799008390246,0.0,10.000389725775394
4,True,0.0,0.0,0.0,0.0,1.6585546514944483,0.0,4.228944989332861
4,True,0.0,0.0,0.0,0.0,1.9578625725350962,0.0,3.233498646678745
4,True,0.0,0.0,0.0,0.0,1.0788167925120606,0.0,6.223431352466024
4,True,0.0,0.0,0.0,0.0,2.894220825205418,0.0,0.21880368537121608
4,True,0.0,0.0,0.0,0.0,2.3009160865876677,0.0,2.1051780404953035
4,True,0.0,0.0,0.0,0.0,1.7297994591471966,0.0,3.991322548778098
4,True,0.0,0.0,0.0,0.0,1.017378817783554,0.0,6.43713188877385
4,True,0.0,0.0,0.0,0.0,0.5613030993616652,0.0,8.071535688506437
4,True,0.0,0.0,0.0,0.0,0.2274403913403944,0.0,9.302441296734088
4,True,0.0,0.0,0.0,0.0,2.018872138370398,0.0,3.0331257690341618
4,True,0.0,0.0,0.0,0.0,2.4067528715064013,0.0,1.7766253552641276
4,True,0.0,0.0,0.0,0.0,0.12262860704044254,0.0,9.69282135314925
4,True,0.0,0.0,0.0,0.0,2.9360151973425674,0.0,0.08789484121438651
4,True,0.0,0.0,0.0,0.0,0.03366196398818522,0.0,10.018806402832425
4,True,0.0,0.0,0.0,0.0,2.724687352129518,0.0,0.7569611722292646
4,True,0.0,0.0,0.0,0.0,2.3433697245709983,0.0,1.979132498758318
4,True,0.0,0.0,0.0,0.0,0.5835461017359433,0.0,7.988807417755206
4,True,0.0,0.0,0.0,0.0,1.7769823119435535,0.0,3.8374284875547615
4,True,0.0,0.0,0.0,0.0,2.729198118228815,0.0,0.7383763916608999
4,True,0.0,0.0,0.0,0.0,2.5537453837220947,0.0,1.2998295219019518
4,True,0.0,0.0,0.0,0.0,0.6923088335232919,0.0,7.5979314174287165
4,True,0.0,0.0,0.0,0.0,0.2984866208005421,0.0,9.059314343465308
4,True,0.0,0.0,0.0,0.0,1.5311151189514205,0.0,4.664576927998665
4,True,0.0,0.0,0.0,0.0,2.1533886547546843,0.0,2.5864200277570415
